Numer of labeled samples:7371   AUC:0.829
Numer of labeled samples:7971   AUC:0.819
Numer of labeled samples:8208   AUC:0.844
Numer of labeled samples:8529   AUC:0.839
Numer of labeled samples:8614   AUC:0.842
Numer of labeled samples:8992   AUC:0.843
Numer of labeled samples:9441   AUC:0.839
Numer of labeled samples:9921   AUC:0.844
Numer of labeled samples:9862   AUC:0.839
Numer of labeled samples:11101   AUC:0.844
Numer of labeled samples:15086   AUC:0.844
Numer of labeled samples:12941   AUC:0.845
Numer of labeled samples:17683   AUC:0.848
Numer of labeled samples:15104   AUC:0.851
Numer of labeled samples:18486   AUC:0.855
Numer of labeled samples:16997   AUC:0.855
Numer of labeled samples:19181   AUC:0.859
Numer of labeled samples:17895   AUC:0.860
Numer of labeled samples:19373   AUC:0.863
Numer of labeled samples:18682   AUC:0.863
Numer of labeled samples:19662   AUC:0.865
Numer of labeled samples:19405   AUC:0.866
Numer of labeled samples:19971   AUC:0.866
Numer of labeled samples:20065   AUC:0.869
Numer of labeled samples:20020   AUC:0.867
Numer of labeled samples:20200   AUC:0.869
Numer of labeled samples:20267   AUC:0.869
Numer of labeled samples:20401   AUC:0.869
Numer of labeled samples:20721   AUC:0.871
Numer of labeled samples:20418   AUC:0.870
Numer of labeled samples:20956   AUC:0.870
Numer of labeled samples:20649   AUC:0.873
Numer of labeled samples:20718   AUC:0.870
Numer of labeled samples:20639   AUC:0.874
Numer of labeled samples:20388   AUC:0.874
Numer of labeled samples:20605   AUC:0.876
Numer of labeled samples:20265   AUC:0.875
Numer of labeled samples:20126   AUC:0.877
Numer of labeled samples:20236   AUC:0.877
Numer of labeled samples:19972   AUC:0.878
Numer of labeled samples:20114   AUC:0.881
Numer of labeled samples:19615   AUC:0.879
Numer of labeled samples:19929   AUC:0.884
Numer of labeled samples:19494   AUC:0.880
Numer of labeled samples:19767   AUC:0.884
Numer of labeled samples:19086   AUC:0.883
Numer of labeled samples:19597   AUC:0.883
Numer of labeled samples:18855   AUC:0.882
Numer of labeled samples:19315   AUC:0.884
Numer of labeled samples:18545   AUC:0.883
Numer of labeled samples:18647   AUC:0.886
Numer of labeled samples:18607   AUC:0.883
Numer of labeled samples:18217   AUC:0.886
Numer of labeled samples:18370   AUC:0.885
Numer of labeled samples:18136   AUC:0.889
Numer of labeled samples:18111   AUC:0.885
Numer of labeled samples:17956   AUC:0.891
Numer of labeled samples:17836   AUC:0.888
Numer of labeled samples:17818   AUC:0.891
Numer of labeled samples:17794   AUC:0.891
Numer of labeled samples:17827   AUC:0.890
Numer of labeled samples:17513   AUC:0.893
Numer of labeled samples:17702   AUC:0.893
Numer of labeled samples:17247   AUC:0.892
Numer of labeled samples:17339   AUC:0.893
Numer of labeled samples:17011   AUC:0.893
Numer of labeled samples:17189   AUC:0.897
Numer of labeled samples:17021   AUC:0.894
Numer of labeled samples:17044   AUC:0.899
